2026-03-19 18:18:02.985 | DEBUG    | g3ku.resources.manager:_finish_reload:338 - resources reloaded via init: 15 tools, 10 skills
2026-03-19 18:18:08.135 | INFO     | g3ku.runtime.bootstrap_bridge:init_memory_runtime:268 - RAG memory store enabled (G3kuHybridStore)
2026-03-19 18:18:08.165 | INFO     | g3ku.runtime.bootstrap_bridge:_sync_memory_runtime:200 - memory runtime synced from resource settings (reason=resource_snapshot)
2026-03-19 18:18:08.525 | DEBUG    | g3ku.resources.manager:_finish_reload:338 - resources reloaded via internal-runtime-sync: 15 tools, 10 skills
2026-03-19 18:18:08.529 | DEBUG    | g3ku.resources.manager:_finish_reload:338 - resources reloaded via bootstrap: 15 tools, 10 skills
2026-03-19 18:18:08.877 | DEBUG    | g3ku.resources.manager:_finish_reload:338 - resources reloaded via main_runtime: 15 tools, 10 skills
2026-03-19 18:18:08.898 | INFO     | g3ku.runtime.bootstrap_bridge:init_resource_runtime:68 - Resource runtime initialized (skills_dir=skills, tools_dir=tools)
2026-03-19 18:21:38.812 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Network error when connecting to https://cc.sub.258000.sbs/v1/responses (ConnectError)
2026-03-19 18:23:12.146 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Network error when connecting to https://cc.sub.258000.sbs/v1/responses (ConnectError)
2026-03-19 18:24:12.824 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Network error when connecting to https://cc.sub.258000.sbs/v1/responses (ConnectError)
2026-03-19 18:25:40.711 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Network error when connecting to https://cc.sub.258000.sbs/v1/responses (ConnectError)
2026-03-19 18:25:41.385 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Network error when connecting to https://cc.sub.258000.sbs/v1/responses (ConnectError)
2026-03-19 18:25:45.719 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Network error when connecting to https://cc.sub.258000.sbs/v1/responses (ConnectError)
2026-03-19 18:28:04.721 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Request timeout to https://cc.sub.258000.sbs/v1/responses (ConnectTimeout)
2026-03-19 18:28:04.724 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Request timeout to https://cc.sub.258000.sbs/v1/responses (ConnectTimeout)
2026-03-19 18:28:04.728 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Request timeout to https://cc.sub.258000.sbs/v1/responses (ConnectTimeout)
2026-03-19 18:28:10.079 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Network error when connecting to https://cc.sub.258000.sbs/v1/responses (ConnectError)
2026-03-19 18:28:10.082 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Network error when connecting to https://cc.sub.258000.sbs/v1/responses (ConnectError)
2026-03-19 18:28:10.178 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Network error when connecting to https://cc.sub.258000.sbs/v1/responses (ConnectError)
2026-03-19 18:28:10.182 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Network error when connecting to https://cc.sub.258000.sbs/v1/responses (ConnectError)
2026-03-19 18:28:18.367 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Network error when connecting to https://cc.sub.258000.sbs/v1/responses (ConnectError)
2026-03-19 18:28:18.381 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Network error when connecting to https://cc.sub.258000.sbs/v1/responses (ConnectError)
2026-03-19 18:28:18.383 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Network error when connecting to https://cc.sub.258000.sbs/v1/responses (ConnectError)
2026-03-19 18:28:18.406 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Network error when connecting to https://cc.sub.258000.sbs/v1/responses (ConnectError)
2026-03-19 18:28:52.592 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Network error when connecting to https://cc.sub.258000.sbs/v1/responses (ConnectError)
2026-03-19 18:28:52.595 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Network error when connecting to https://cc.sub.258000.sbs/v1/responses (ConnectError)
2026-03-19 18:28:57.288 | ERROR    | g3ku.providers.responses_provider:chat:114 - Error calling Responses API: Network error when connecting to https://cc.sub.258000.sbs/v1/responses (ConnectError)
